Artist,Track,Track ID,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Ali Farka Toure,Savane,"1M4tuRq8WrDUSlFDXYfLwP
",,,,,,,,,,
Big Pun NORE,Thug Brothers,"2F800bJgjRqiLna8Sfe5Un
",,,,,,,,,,
Stereo MCs,Ground Level,"51qiMz9lvTm7kaZlMyMeZi
",,,,,,,,,,
DJ Vadim,Feat Feats feat Emo and Syrus,"2HznKE02QKEGLBhJLqqaVF
",,,,,,,,,,
Tristan Magik,Triptamine,"5iypSEg6inNmRr3nKCCZfz
",,,,,,,,,,
Count Basie,Dr Nos Fantasy,"5ST6iwqGkjkO0TNNhyzTu7
",,,,,,,,,,
The New Mastersounds Corinne Bailey Rae,Your Love Is Mine featuring Corinne Bailey Rae,"0sGFsWPYyhN4X9LKT1EiOv
",,,,,,,,,,
Zen Baboon,Bencalado,"7JwwAlWgTHpWkvRUbXbkVb
",,,,,,,,,,
T,Make That Sh*t Work,"7oigG0toPdu2Oj8mYowsBM
",,,,,,,,,,
Junior Kimbrough,Lonesome Road,"7J1XxG7tYcDfJ4xkLMKw8O
",0.08680555555555555,0.2375,0,0,0,0,0.14166666666666666,0.1875,0.3333333333333333,0.5
Jimmy Smith,Root Down,"08zM9Tx6Ya7346nDoW2Dbh
",,,,,,,,,,
Zagar,Odd Moments of Eternity,"3Aoxvyo2ViCirAmVB24D23
",0.2770833333333333,0,0,0.1734126984126984,0,0,0.25,0,0.25,0.25
Boef,Habiba,"6G41AeVgQkpvEbTxN5fNkW
",0.05024131860937417,0.05561900138842341,0.13888888888888887,0.07916666666666666,0.17777777777777776,0.024969650418352467,0.11666666666666665,0.048892195767195765,0.26666666666666666,0.04562897632631429
Broken Bells,Your Head Is On Fire,"6BIzzDdmzpQujSTAAkuPtG
",0.2,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.4444444444444444,0.2,0,0.2,0.2
NoMBe,Freak Like Me,"5U6ZzFbxI9AHpWUWEy8rw7
",0.1304728835978836,0.19999999999999998,0.26666666666666666,0.12638888888888888,0.2,0.19999999999999998,0.08166666666666667,0.26666666666666666,0.2,0.05717592592592593
The Stooges,You Better Run,"4rhnPIGYT9L0DEJz3Iq7NL
",,,,,,,,,,
Steely and Clevie Dawn Penn,You Dont Love Me,"0VzVNOe3U97RHtxivodm3V
",,,,,,,,,,
Yestermorrow,People of the Light,"0FsjS5JbHXYohD5YyLk1PG
",,,,,,,,,,
Lightnin Hopkins,Mojo Hand,"1WE055A5d1019EAx79Rg8Q
",0.18333333333333332,0.2013888888888889,0,0.41666666666666663,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0.275
Riff Raff,Introducing The Icon,"6hjd3a4z7hDeTOi7rEqElO
",0.030571374147885817,0.031501230965611235,0.04436613046008714,0.08601640593486037,0.12945129440665154,0.035902777777777777,0.030579591786033995,0.04500195504940875,0.06139691987906274,0.014717043222481237
Muddy Waters,I Cant Be Satisfied,"6q8YJo4JweMaOMeG0J0BCx
",0.06192924199000588,0.05637037955614345,0.5,0.3333333333333333,0,0,0.07333416005291005,0.05637037955614345,0.41666666666666663,0
George Lewis,Down By The Riverside,"1BHMpKJngIU4iWpzZIj7hm
",,,,,,,,,,
Mage Cain Mos,Between Two Worlds,"7EQ5sMFZCxzwpMWeurTAIt
",,,,,,,,,,
Phoenix,Too young,"2THkQauDWMvJgXFGPY4iKB
",0.02614262415824916,0.07022197420634921,0.12291666666666666,0.03358865189594356,0.175,0.13555555555555557,0.03193865740740741,0.16944444444444443,0.023517104431383943,0.11458333333333333
Lenzman Riya,How Did I Let U Go,"3ZWHzCgMGV1V5chxm9yb3X
",,,,,,,,,,
Mystical Sun and written by Mystical Sun,In Between Orbits,"6JvQGtCq65tor3Lc1117q7
",,,,,,,,,,
The Notorious BIG,Warning,"33rsCCLHklTQav9klbpnAi
",0.08121362433862434,0.008790340588723324,0.02092158154302461,0.11000000000000001,0.04245834251910641,0.014812504907366979,0.13333333333333333,0.019389637390216093,0.05375,0.2327777777777778
Francis Bebey,Sanza tristesse,"4RDa0vnlsuolDfpBnlmkLq
",,,,,,,,,,
King Tubby,Take Five,"4gcRTIXP8nHwl0hFdJikia
",,,,,,,,,,
Arjuna,Whispering Angels,"7bVmTcv16OBp0J2HThyaO0
",,,,,,,,,,
Dave Seaman,Renaissance,"0JygIoIqMnxjptNWlkc7wB
",,,,,,,,,,
Lil Dicky,Who Knew,"2AqGzt3g1L447rpkfqByiR
",0.03033181129077973,0.02376495070087227,0.03370622979129923,0.03238683127572016,0.05636376579952969,0.11944444444444444,0.043326719576719575,0.20416666666666666,0.12222222222222223,0.03237856867589837
Rara Avis,Om Prana,"4OZHETlgzXU8KOkoZnBhnp
",,,,,,,,,,
The Wiseguys,Too Easy,"3Ot84O7eRoXMm0vhnR2RtI
",,,,,,,,,,
